timestamp_machine,timestamp_google,rr,device,dateTime
1646146505806,1646146505789,791,ED:68:09:2B:C6:5F,2022-03-01 15:55:05
1646146507717,1646146507700,804,ED:68:09:2B:C6:5F,2022-03-01 15:55:07
1646146507717,1646146507700,811,ED:68:09:2B:C6:5F,2022-03-01 15:55:07
1646146507730,1646146507713,800,ED:68:09:2B:C6:5F,2022-03-01 15:55:07
1646146507740,1646146507723,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:07
1646146507749,1646146507733,788,ED:68:09:2B:C6:5F,2022-03-01 15:55:07
1646146508711,1646146508693,787,ED:68:09:2B:C6:5F,2022-03-01 15:55:08
1646146508711,1646146508693,796,ED:68:09:2B:C6:5F,2022-03-01 15:55:08
1646146509708,1646146509692,796,ED:68:09:2B:C6:5F,2022-03-01 15:55:09
1646146511710,1646146511691,743,ED:68:09:2B:C6:5F,2022-03-01 15:55:11
1646146511724,1646146511707,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:11
1646146511724,1646146511707,756,ED:68:09:2B:C6:5F,2022-03-01 15:55:11
1646146513701,1646146513682,771,ED:68:09:2B:C6:5F,2022-03-01 15:55:13
1646146513712,1646146513694,776,ED:68:09:2B:C6:5F,2022-03-01 15:55:13
1646146514696,1646146514679,788,ED:68:09:2B:C6:5F,2022-03-01 15:55:14
1646146514696,1646146514679,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:14
1646146515693,1646146515676,784,ED:68:09:2B:C6:5F,2022-03-01 15:55:15
1646146516690,1646146516674,775,ED:68:09:2B:C6:5F,2022-03-01 15:55:16
1646146517691,1646146517674,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:17
1646146517691,1646146517674,767,ED:68:09:2B:C6:5F,2022-03-01 15:55:17
1646146518686,1646146518669,768,ED:68:09:2B:C6:5F,2022-03-01 15:55:18
1646146519686,1646146519670,767,ED:68:09:2B:C6:5F,2022-03-01 15:55:19
1646146520682,1646146520665,776,ED:68:09:2B:C6:5F,2022-03-01 15:55:20
1646146520682,1646146520665,771,ED:68:09:2B:C6:5F,2022-03-01 15:55:20
1646146521694,1646146521665,776,ED:68:09:2B:C6:5F,2022-03-01 15:55:21
1646146522677,1646146522660,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:22
1646146523678,1646146523661,796,ED:68:09:2B:C6:5F,2022-03-01 15:55:23
1646146529721,1646146529704,799,ED:68:09:2B:C6:5F,2022-03-01 15:55:29
1646146529721,1646146529704,804,ED:68:09:2B:C6:5F,2022-03-01 15:55:29
1646146529731,1646146529714,795,ED:68:09:2B:C6:5F,2022-03-01 15:55:29
1646146529756,1646146529738,800,ED:68:09:2B:C6:5F,2022-03-01 15:55:29
1646146530657,1646146530640,796,ED:68:09:2B:C6:5F,2022-03-01 15:55:30
1646146530657,1646146530640,811,ED:68:09:2B:C6:5F,2022-03-01 15:55:30
1646146530666,1646146530650,816,ED:68:09:2B:C6:5F,2022-03-01 15:55:30
1646146530676,1646146530659,815,ED:68:09:2B:C6:5F,2022-03-01 15:55:30
1646146530686,1646146530669,799,ED:68:09:2B:C6:5F,2022-03-01 15:55:30
1646146531653,1646146531637,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:31
1646146531653,1646146531637,804,ED:68:09:2B:C6:5F,2022-03-01 15:55:31
1646146532651,1646146532635,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:32
1646146533660,1646146533642,788,ED:68:09:2B:C6:5F,2022-03-01 15:55:33
1646146534650,1646146534633,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:34
1646146534650,1646146534633,788,ED:68:09:2B:C6:5F,2022-03-01 15:55:34
1646146535645,1646146535629,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:35
1646146539696,1646146539679,784,ED:68:09:2B:C6:5F,2022-03-01 15:55:39
1646146539706,1646146539689,771,ED:68:09:2B:C6:5F,2022-03-01 15:55:39
1646146539706,1646146539689,764,ED:68:09:2B:C6:5F,2022-03-01 15:55:39
1646146542689,1646146542672,763,ED:68:09:2B:C6:5F,2022-03-01 15:55:42
1646146542700,1646146542684,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:42
1646146542713,1646146542695,767,ED:68:09:2B:C6:5F,2022-03-01 15:55:42
1646146542713,1646146542695,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:42
1646146543627,1646146543611,772,ED:68:09:2B:C6:5F,2022-03-01 15:55:43
1646146543641,1646146543625,775,ED:68:09:2B:C6:5F,2022-03-01 15:55:43
1646146543651,1646146543635,776,ED:68:09:2B:C6:5F,2022-03-01 15:55:43
1646146543651,1646146543635,779,ED:68:09:2B:C6:5F,2022-03-01 15:55:43
1646146544625,1646146544608,784,ED:68:09:2B:C6:5F,2022-03-01 15:55:44
1646146545618,1646146545601,787,ED:68:09:2B:C6:5F,2022-03-01 15:55:45
1646146545618,1646146545601,352,ED:68:09:2B:C6:5F,2022-03-01 15:55:45
1646146548678,1646146548661,440,ED:68:09:2B:C6:5F,2022-03-01 15:55:48
1646146548694,1646146548677,795,ED:68:09:2B:C6:5F,2022-03-01 15:55:48
1646146548694,1646146548677,788,ED:68:09:2B:C6:5F,2022-03-01 15:55:48
1646146549610,1646146549593,799,ED:68:09:2B:C6:5F,2022-03-01 15:55:49
1646146550606,1646146550589,796,ED:68:09:2B:C6:5F,2022-03-01 15:55:50
1646146551604,1646146551587,795,ED:68:09:2B:C6:5F,2022-03-01 15:55:51
1646146551604,1646146551587,808,ED:68:09:2B:C6:5F,2022-03-01 15:55:51
1646146551615,1646146551598,815,ED:68:09:2B:C6:5F,2022-03-01 15:55:51
1646146552601,1646146552584,812,ED:68:09:2B:C6:5F,2022-03-01 15:55:52
1646146553601,1646146553585,767,ED:68:09:2B:C6:5F,2022-03-01 15:55:53
1646146554596,1646146554578,808,ED:68:09:2B:C6:5F,2022-03-01 15:55:54
1646146554596,1646146554578,763,ED:68:09:2B:C6:5F,2022-03-01 15:55:54
1646146555594,1646146555577,776,ED:68:09:2B:C6:5F,2022-03-01 15:55:55
1646146559646,1646146559629,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:59
1646146559657,1646146559640,780,ED:68:09:2B:C6:5F,2022-03-01 15:55:59
1646146559657,1646146559640,783,ED:68:09:2B:C6:5F,2022-03-01 15:55:59
1646146560581,1646146560564,784,ED:68:09:2B:C6:5F,2022-03-01 15:56:00
1646146561579,1646146561562,768,ED:68:09:2B:C6:5F,2022-03-01 15:56:01
1646146563574,1646146563557,763,ED:68:09:2B:C6:5F,2022-03-01 15:56:03
1646146563574,1646146563557,760,ED:68:09:2B:C6:5F,2022-03-01 15:56:03
1646146563585,1646146563567,755,ED:68:09:2B:C6:5F,2022-03-01 15:56:03
1646146563594,1646146563578,756,ED:68:09:2B:C6:5F,2022-03-01 15:56:03
1646146565570,1646146565553,779,ED:68:09:2B:C6:5F,2022-03-01 15:56:05
1646146565570,1646146565553,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:05
1646146565581,1646146565564,803,ED:68:09:2B:C6:5F,2022-03-01 15:56:05
1646146566566,1646146566549,812,ED:68:09:2B:C6:5F,2022-03-01 15:56:06
1646146566566,1646146566549,332,ED:68:09:2B:C6:5F,2022-03-01 15:56:06
1646146566577,1646146566560,475,ED:68:09:2B:C6:5F,2022-03-01 15:56:06
1646146567566,1646146567549,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:07
1646146567566,1646146567549,775,ED:68:09:2B:C6:5F,2022-03-01 15:56:07
1646146568564,1646146568547,788,ED:68:09:2B:C6:5F,2022-03-01 15:56:08
1646146570559,1646146570542,787,ED:68:09:2B:C6:5F,2022-03-01 15:56:10
1646146570569,1646146570553,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:10
1646146570569,1646146570553,799,ED:68:09:2B:C6:5F,2022-03-01 15:56:10
1646146571557,1646146571540,800,ED:68:09:2B:C6:5F,2022-03-01 15:56:11
1646146572556,1646146572539,792,ED:68:09:2B:C6:5F,2022-03-01 15:56:12
1646146574546,1646146574529,791,ED:68:09:2B:C6:5F,2022-03-01 15:56:14
1646146574558,1646146574539,792,ED:68:09:2B:C6:5F,2022-03-01 15:56:14
1646146574558,1646146574539,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:14
1646146576546,1646146576526,800,ED:68:09:2B:C6:5F,2022-03-01 15:56:16
1646146576561,1646146576540,791,ED:68:09:2B:C6:5F,2022-03-01 15:56:16
1646146577656,1646146577640,780,ED:68:09:2B:C6:5F,2022-03-01 15:56:17
1646146577656,1646146577640,759,ED:68:09:2B:C6:5F,2022-03-01 15:56:17
1646146578535,1646146578519,760,ED:68:09:2B:C6:5F,2022-03-01 15:56:18
1646146579534,1646146579518,767,ED:68:09:2B:C6:5F,2022-03-01 15:56:19
1646146580536,1646146580519,768,ED:68:09:2B:C6:5F,2022-03-01 15:56:20
1646146580536,1646146580519,779,ED:68:09:2B:C6:5F,2022-03-01 15:56:20
1646146581531,1646146581513,776,ED:68:09:2B:C6:5F,2022-03-01 15:56:21
1646146582526,1646146582509,787,ED:68:09:2B:C6:5F,2022-03-01 15:56:22
1646146583556,1646146583539,788,ED:68:09:2B:C6:5F,2022-03-01 15:56:23
1646146583556,1646146583539,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:23
1646146587576,1646146587560,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:27
1646146587598,1646146587570,803,ED:68:09:2B:C6:5F,2022-03-01 15:56:27
1646146589550,1646146589534,808,ED:68:09:2B:C6:5F,2022-03-01 15:56:29
1646146589561,1646146589543,811,ED:68:09:2B:C6:5F,2022-03-01 15:56:29
1646146589561,1646146589543,820,ED:68:09:2B:C6:5F,2022-03-01 15:56:29
1646146591507,1646146591487,815,ED:68:09:2B:C6:5F,2022-03-01 15:56:31
1646146591517,1646146591501,808,ED:68:09:2B:C6:5F,2022-03-01 15:56:31
1646146591528,1646146591511,820,ED:68:09:2B:C6:5F,2022-03-01 15:56:31
1646146591560,1646146591542,823,ED:68:09:2B:C6:5F,2022-03-01 15:56:31
1646146591560,1646146591542,816,ED:68:09:2B:C6:5F,2022-03-01 15:56:31
1646146592505,1646146592486,815,ED:68:09:2B:C6:5F,2022-03-01 15:56:32
1646146595558,1646146595541,824,ED:68:09:2B:C6:5F,2022-03-01 15:56:35
1646146595570,1646146595553,791,ED:68:09:2B:C6:5F,2022-03-01 15:56:35
1646146595581,1646146595563,828,ED:68:09:2B:C6:5F,2022-03-01 15:56:35
1646146595581,1646146595563,807,ED:68:09:2B:C6:5F,2022-03-01 15:56:35
1646146597489,1646146597473,808,ED:68:09:2B:C6:5F,2022-03-01 15:56:37
1646146599484,1646146599467,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:39
1646146599495,1646146599478,792,ED:68:09:2B:C6:5F,2022-03-01 15:56:39
1646146599495,1646146599478,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:39
1646146599505,1646146599488,800,ED:68:09:2B:C6:5F,2022-03-01 15:56:39
1646146601480,1646146601462,811,ED:68:09:2B:C6:5F,2022-03-01 15:56:41
1646146603477,1646146603458,812,ED:68:09:2B:C6:5F,2022-03-01 15:56:43
1646146603488,1646146603471,795,ED:68:09:2B:C6:5F,2022-03-01 15:56:43
1646146603488,1646146603471,796,ED:68:09:2B:C6:5F,2022-03-01 15:56:43
1646146603499,1646146603482,799,ED:68:09:2B:C6:5F,2022-03-01 15:56:43
1646146604471,1646146604454,804,ED:68:09:2B:C6:5F,2022-03-01 15:56:44
1646146609522,1646146609504,807,ED:68:09:2B:C6:5F,2022-03-01 15:56:49
